PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,128445403,0.22447921,-0.67883974,-0.30484375,-0.6291709,-1.5345618724822998,0.32212990522384644,1.4412016868591309,0.3008667230606079,2.2989301681518555, -1.2352043390274048
2,128462070,0.22358564,-0.6792701,-0.3046858,-0.6291012,9.74691104888916,0.7925553917884827,-1.0739790201187134,-6.460894584655762,-2.5313291549682617, -3.794957399368286
3,128478737,0.22239216,-0.6796364,-0.304357,-0.62928754,9.76011848449707,0.7845748662948608,-1.059122085571289,-7.380467891693115,-1.614458680152893, -3.1891918182373047
4,128495404,0.22133084,-0.67988247,-0.30402595,-0.62955624,9.720430374145508,0.7488089203834534,-1.067641258239746,-7.3611555099487305,-1.5250444412231445, -3.105220317840576
5,128512071,0.22026862,-0.68017477,-0.30364162,-0.6297983,9.697761535644531,0.6835454702377319,-1.108955979347229,-6.719480514526367,-1.77590811252594, -3.884870767593384
6,128528738,0.21943901,-0.6805857,-0.30327058,-0.62982273,9.69359302520752,0.7719281315803528,-1.07062566280365,-5.490198612213135,-2.165938377380371, -3.8316869735717773
7,128545405,0.2185823,-0.68098277,-0.30290532,-0.62986726,9.716981887817383,0.8961817622184753,-1.044217586517334,-4.861854553222656,-2.3570473194122314, -3.421025037765503
8,128562072,0.21776043,-0.6811228,-0.30284512,-0.6300293,9.622075080871582,1.060523271560669,-1.0113601684570312,-3.438082456588745,-1.6179672479629517, -3.8142693042755127
9,128578739,0.21654858,-0.68124515,-0.30277163,-0.6303502,9.728631019592285,1.0746665000915527,-1.035971760749817,-4.644761562347412,-1.95827054977417, -3.7947139739990234
10,128595406,0.21507227,-0.68157685,-0.30255765,-0.63059956,9.609119415283203,1.062772512435913,-1.0246354341506958,-8.318083763122559,-3.8287405967712402, -2.6436281204223633
11,128612073,0.21306993,-0.6823381,-0.30184793,-0.6307961,9.635008811950684,1.1071208715438843,-0.7051184773445129,-13.161863327026367,-6.33904504776001, -1.3506611585617065
