PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,454830501,0.4241504,0.43035337,-0.5074317,0.61433345,0.013879661448299885,-0.08060790598392487,0.01290540024638176,0.25022414326667786,0.16266818344593048, 0.020634762942790985
2,454847168,0.42494994,0.43066058,-0.50718904,0.6137658,9.376143455505371,-2.3999903202056885,1.2091503143310547,-5.871647357940674,0.32071584463119507, -1.4783138036727905
3,454863835,0.42606074,0.43090853,-0.50633764,0.6135245,9.258546829223633,-2.489199638366699,1.0567234754562378,-2.492218255996704,0.29926520586013794, -1.4682862758636475
4,454880502,0.42633605,0.43119085,-0.50618666,0.6132596,9.201139450073242,-2.557168483734131,1.130144715309143,-0.3432998061180115,-0.6364883780479431, -1.2676109075546265
5,454897169,0.42627475,0.43114462,-0.5063378,0.6132097,9.249213218688965,-2.5790276527404785,1.1760435104370117,0.623112142086029,-1.430725336074829, -1.077090859413147
6,454913836,0.42592463,0.4311432,-0.5064659,0.6133485,9.299409866333008,-2.5612924098968506,1.1824951171875,1.2886838912963867,-2.526219367980957, -0.9806974530220032
7,454930503,0.4253717,0.43136057,-0.5065106,0.6135423,9.280082702636719,-2.5406811237335205,1.1730129718780518,2.4221997261047363,-3.826371431350708, -0.8483055830001831
8,454947170,0.4246434,0.43186173,-0.5064813,0.6137183,9.270075798034668,-2.5166666507720947,1.1330269575119019,4.3740034103393555,-5.547903537750244, -0.8482159376144409
9,454963837,0.4233719,0.43305746,-0.50614476,0.6140318,9.242280006408691,-2.471827507019043,1.0010749101638794,9.476057052612305,-8.648964881896973, -0.9821708798408508
10,454980504,0.42123798,0.43530634,-0.5054102,0.61451423,9.206563949584961,-2.5188658237457275,0.9559901356697083,17.53205680847168,-13.515151977539062, -1.111144781112671
11,454997171,0.4182238,0.43855277,-0.50421566,0.61524564,9.274137496948242,-2.433156967163086,0.958653450012207,25.755367279052734,-18.03441047668457, -1.4672925472259521
12,455013838,0.41513023,0.44199008,-0.5031029,0.6157916,9.374592781066895,-2.456617832183838,1.023645043373108,27.32009506225586,-20.128049850463867, -1.4148513078689575
13,455030505,0.4122782,0.44517618,-0.50214034,0.61619806,9.45014762878418,-2.4444801807403564,1.0773378610610962,25.275245666503906,-19.40951156616211, -1.1694927215576172
14,455047172,0.40998608,0.44775864,-0.5015164,0.61636436,9.44568157196045,-2.4334709644317627,1.1102725267410278,20.56355857849121,-17.257957458496094, -0.7417199611663818
15,455063839,0.4082946,0.44962552,-0.5012952,0.61630803,9.447029113769531,-2.386604070663452,1.0204342603683472,13.629103660583496,-14.257878303527832, -0.08598194271326065
16,455080506,0.40712208,0.45087308,-0.5014814,0.61602086,9.36263656616211,-2.3894994258880615,1.0089330673217773,8.469300270080566,-12.036147117614746, 0.7388436794281006
17,455097173,0.4061956,0.45178166,-0.5019122,0.6156158,9.307046890258789,-2.4251670837402344,0.8729087710380554,4.815887928009033,-10.816786766052246, 1.3352354764938354
18,455113840,0.40535715,0.45248395,-0.50247043,0.61519724,9.315840721130371,-2.411977767944336,0.8580214977264404,3.0537452697753906,-9.852080345153809, 1.972069501876831
19,455130507,0.40461338,0.4530113,-0.50303406,0.61483777,9.391728401184082,-2.4036264419555664,0.9116829633712769,1.5324270725250244,-8.31147575378418, 2.2812657356262207
20,455147174,0.40520805,0.45226693,-0.5043466,0.6139181,9.708412170410156,-2.402259111404419,1.3778140544891357,-11.084386825561523,-2.235964059829712, 1.864003300666809
