PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,130616619,0.04141572,0.75276953,-0.0052759554,0.65695906,1.0895088911056519,-1.7708077430725098,2.189582347869873,0.1820581704378128,4.21206521987915, -0.3608042895793915
2,130633286,0.041552193,0.7529269,-0.006118279,0.6567628,9.784476280212402,0.5292689800262451,-1.31123685836792,0.9285306334495544,-3.0186357498168945, 0.4755829870700836
3,130649953,0.041345302,0.75312907,-0.006367619,0.6565417,9.767816543579102,0.5265885591506958,-1.3023681640625,0.7417885661125183,-3.045657157897949, 0.4819093942642212
4,130666620,0.041072052,0.75331366,-0.006404634,0.6563466,9.773972511291504,0.5402756333351135,-1.2943103313446045,0.571656346321106,-3.0157036781311035, 0.549360454082489
5,130683287,0.040916152,0.7534679,-0.006406287,0.65617925,9.756345748901367,0.5339596271514893,-1.3029929399490356,0.4114360809326172,-2.9590485095977783, 0.5490018725395203
6,130699954,0.041074265,0.75362915,-0.0067297113,0.6559809,9.755799293518066,0.5168061852455139,-1.3292287588119507,0.5444684028625488,-2.905543088912964, 0.57083660364151
7,130716621,0.041181784,0.7538391,-0.0070184525,0.6557299,9.769838333129883,0.49988794326782227,-1.3013412952423096,0.6838526725769043,-2.976170301437378, 0.5198929905891418
8,130733288,0.04125288,0.7540382,-0.007281921,0.6554936,9.753792762756348,0.5251489281654358,-1.316535234451294,0.8680977821350098,-2.9694983959198, 0.3713777959346771
9,130749955,0.04129585,0.7542433,-0.0074826377,0.65525264,9.767171859741211,0.5499614477157593,-1.3079811334609985,0.5944003462791443,-2.968883514404297, 0.40545544028282166
10,130766622,0.04133815,0.7544415,-0.0076218266,0.6550202,9.757929801940918,0.5168516039848328,-1.3032572269439697,0.5016438961029053,-2.929067850112915, 0.382621705532074
11,130783289,0.041529253,0.75463265,-0.007942424,0.65478396,9.770879745483398,0.5116245746612549,-1.2949583530426025,0.46463361382484436,-2.9122025966644287, 0.398578405380249
12,130799956,0.04161578,0.7548118,-0.008150343,0.6545694,9.768304824829102,0.489259272813797,-1.3245867490768433,0.8120826482772827,-2.8185110092163086, 0.345803439617157
13,130816623,0.041632064,0.7550007,-0.008257022,0.654349,9.776923179626465,0.5400407314300537,-1.2861531972885132,0.8522177338600159,-2.835620403289795, 0.14073538780212402
14,130833290,0.041817576,0.7551694,-0.008539502,0.6541388,9.773701667785645,0.5163745284080505,-1.3165960311889648,0.4565015733242035,-2.7391505241394043, 0.20954391360282898
15,130849957,0.041878104,0.75534743,-0.008655516,0.65392786,9.758354187011719,0.5070266723632812,-1.291532278060913,0.6058748960494995,-2.7755844593048096, 0.08443867415189743
16,130866624,0.041876167,0.75550926,-0.008697938,0.65374047,9.785527229309082,0.5252237915992737,-1.2802863121032715,0.7760968804359436,-2.613750457763672, 0.04158862680196762
17,130883291,0.041835845,0.75566953,-0.008684417,0.65355784,9.789278030395508,0.5248425602912903,-1.2778651714324951,0.5718483328819275,-2.6460094451904297, 0.041601426899433136
18,130899958,0.0418741,0.7558145,-0.00874482,0.65338707,9.762534141540527,0.5234727263450623,-1.2754782438278198,0.48926016688346863,-2.5299453735351562, -0.003291231347247958
19,130916625,0.04195648,0.75594896,-0.008816024,0.6532252,9.76305866241455,0.5094127058982849,-1.3038336038589478,0.6306294798851013,-2.4324634075164795, -0.19300450384616852
20,130933292,0.042071912,0.7560808,-0.008896329,0.653064,9.795336723327637,0.5042586326599121,-1.3128496408462524,0.453530490398407,-2.383902072906494, -0.3133329451084137
21,130949959,0.04229715,0.7562039,-0.009100819,0.652904,9.781219482421875,0.5082210302352905,-1.3016352653503418,0.6187195777893066,-2.2673258781433105, -0.36905336380004883
22,130966626,0.042580944,0.75631297,-0.0093468325,0.65275586,9.75992488861084,0.5182109475135803,-1.2970787286758423,0.6850053071975708,-2.1028668880462646, -0.5054282546043396
23,130983293,0.042510334,0.75641674,-0.009174904,0.6526427,9.751105308532715,0.5385057926177979,-1.2931686639785767,0.7730745673179626,-1.9738298654556274, -0.5457938313484192
24,130999960,0.042618725,0.7565124,-0.00920801,0.6525244,9.762370109558105,0.5617709159851074,-1.2596665620803833,0.44388726353645325,-1.9204528331756592, -0.48616743087768555
25,131016627,0.04292134,0.75661784,-0.009470872,0.6523782,9.775164604187012,0.5517956018447876,-1.2572914361953735,0.19982390105724335,-2.08614182472229, -0.4003777503967285
26,131033294,0.043059602,0.7567207,-0.009547754,0.652249,9.777444839477539,0.5420645475387573,-1.2480900287628174,0.25580042600631714,-2.042881727218628, -0.36896371841430664
27,131049961,0.04323483,0.756849,-0.009661266,0.65208673,9.760727882385254,0.5370172262191772,-1.242487907409668,0.5577357411384583,-2.318730592727661, -0.44689038395881653
