PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
2,110624783,0.6627476,-0.26260456,-0.69022197,-0.12408886,9.665602684020996,-1.735964059829712,-0.8275718092918396,2.076504707336426,-2.4247794151306152, 0.8075875639915466
3,110641450,0.6630484,-0.26233137,-0.6900641,-0.12393888,9.6696138381958,-1.7224513292312622,-0.8687310814857483,2.0890421867370605,-2.3859894275665283, 0.5789045691490173
4,110658117,0.6632106,-0.26185676,-0.69015515,-0.12356748,9.661620140075684,-1.718453049659729,-0.843210756778717,2.7920982837677,-2.19739031791687, 0.5147064328193665
5,110674784,0.66332465,-0.26147345,-0.69024533,-0.12326203,9.67902946472168,-1.7151738405227661,-0.836458683013916,2.0474853515625,-1.9946528673171997, 0.6231505274772644
6,110691451,0.6632766,-0.26151612,-0.6902538,-0.12338225,9.650630950927734,-1.7563670873641968,-0.7947202920913696,-2.1107044219970703,-1.7830920219421387, 0.7040611505508423
7,110708118,0.6632565,-0.2615013,-0.69029075,-0.12331548,9.652864456176758,-1.7249774932861328,-0.8479762673377991,-2.690178394317627,-2.0188183784484863, 0.7430051565170288
8,110724785,0.6631994,-0.26144522,-0.69038624,-0.12320674,9.659501075744629,-1.7504276037216187,-0.8290154337882996,-1.5977587699890137,-2.086705207824707, 0.5423553586006165
9,110741452,0.66312414,-0.26140547,-0.6904933,-0.12309567,9.640909194946289,-1.7641308307647705,-0.8317164778709412,-0.7811233997344971,-2.2371160984039307, 0.3142998516559601
10,110758119,0.6630422,-0.26137486,-0.69060653,-0.12296701,9.651202201843262,-1.72442626953125,-0.816707968711853,-0.03037666343152523,-2.3077428340911865, 0.1480477899312973
11,110774786,0.6627134,-0.26215753,-0.6905032,-0.123651795,9.677115440368652,-1.7160767316818237,-0.6834872364997864,-5.737987995147705,-2.130080223083496, 0.35173285007476807
12,110791453,0.66234756,-0.26303577,-0.69036186,-0.12453333,9.641188621520996,-1.7287012338638306,-0.8060855865478516,-9.954263687133789,-1.9044458866119385, 0.29971349239349365
13,110808120,0.66197926,-0.26383016,-0.69026864,-0.12532541,9.6295166015625,-1.7713441848754883,-0.824551522731781,-8.665315628051758,-2.150237798690796, 0.1695753037929535
14,110824787,0.66166097,-0.26436496,-0.6902787,-0.12582318,9.642040252685547,-1.782217025756836,-0.8725709915161133,-5.636446475982666,-2.5671353340148926, -0.03968688100576401
15,110841454,0.6613629,-0.2648888,-0.6902803,-0.12627906,9.643963813781738,-1.760050654411316,-0.8742691874504089,-2.991666316986084,-2.6755542755126953, -0.21163778007030487
16,110858121,0.6611417,-0.26509395,-0.69038814,-0.1264161,9.657425880432129,-1.7428905963897705,-0.8768588900566101,-0.450015127658844,-2.803130865097046, -0.36847707629203796
17,110874788,0.6610426,-0.26484826,-0.6906355,-0.1260986,9.668800354003906,-1.7297171354293823,-0.8440489172935486,2.083932638168335,-2.802541494369507, -0.375264436006546
18,110891455,0.6609837,-0.2644758,-0.6909135,-0.12566541,9.695206642150879,-1.6779855489730835,-0.8602616786956787,2.7383246421813965,-2.716585874557495, -0.3744705319404602
19,110908122,0.66097504,-0.26397422,-0.6912152,-0.12510493,9.695066452026367,-1.6695880889892578,-0.8527560234069824,3.4261786937713623,-2.543661117553711, -0.22759445011615753
20,110924789,0.6609682,-0.2635437,-0.69147384,-0.124618426,9.691466331481934,-1.6694488525390625,-0.8272751569747925,4.615851402282715,-2.575895071029663, -0.22923369705677032
21,110941456,0.6609545,-0.2630793,-0.69175756,-0.12409631,9.66979694366455,-1.7056756019592285,-0.7867634296417236,5.015279769897461,-2.7756481170654297, -0.21359708905220032
22,110958123,0.6608062,-0.2629109,-0.69199973,-0.12389389,9.663833618164062,-1.7189104557037354,-0.7728765606880188,1.9421275854110718,-2.9601876735687256, -0.2971073091030121
23,110974790,0.6606175,-0.26296186,-0.6921624,-0.123882525,9.676973342895508,-1.719017505645752,-0.747835099697113,-0.486013799905777,-2.6112916469573975, 0.013875679112970829
24,110991457,0.6602524,-0.2634538,-0.69226074,-0.12423369,9.643075942993164,-1.6782835721969604,-0.786672830581665,-4.6079301834106445,-2.935817241668701, 0.424588143825531
25,111008124,0.65986615,-0.26416403,-0.6922765,-0.124688715,9.674372673034668,-1.6279942989349365,-0.7866082191467285,-5.711670875549316,-2.7579500675201416, 1.0947061777114868
26,111024791,0.6594842,-0.26481888,-0.69232565,-0.12504786,9.75809383392334,-1.6440553665161133,-0.8138625025749207,-4.493851184844971,-3.111661434173584, 1.2206438779830933
27,111041458,0.6591768,-0.2651093,-0.6924907,-0.12513877,9.718555450439453,-1.7432446479797363,-0.8684411644935608,-2.7158169746398926,-3.2044174671173096, 0.7426978349685669
28,111058125,0.6589865,-0.26504007,-0.6927292,-0.124967806,9.618639945983887,-1.8158808946609497,-0.8733552694320679,0.47799062728881836,-3.1110851764678955, 0.14776606857776642
29,111074792,0.65879714,-0.26501778,-0.6929368,-0.12486355,9.532929420471191,-1.8027822971343994,-0.8848997950553894,1.0998284816741943,-3.055223226547241, -0.07834924012422562
30,111091459,0.65857387,-0.26508787,-0.6931191,-0.12487981,9.598047256469727,-1.785810112953186,-0.8709142208099365,0.011045476421713829,-2.911203622817993, -0.23722483217716217
