PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
2,317861136,0.556985,0.38610736,-0.6041157,0.41920528,9.79505443572998,-0.7077626585960388,-0.31024911999702454,-1.214042067527771,-0.6962812542915344, -0.13145717978477478
3,317877803,0.5571334,0.38633513,-0.6041306,0.41877666,9.757180213928223,-0.7379747629165649,-0.316039502620697,-1.3033663034439087,-0.5165057182312012, 0.218008890748024
4,317894470,0.5571286,0.3863977,-0.6043297,0.41843772,9.819754600524902,-0.7415883541107178,-0.29638880491256714,-1.2341607809066772,-0.2834685742855072, 0.42087432742118835
5,317911137,0.5571055,0.38636494,-0.6045319,0.41820672,9.809897422790527,-0.7729402780532837,-0.2504817545413971,-0.7137362957000732,-0.4180120527744293, 0.4970848560333252
6,317927804,0.55708766,0.3862531,-0.6046345,0.41818553,9.7900390625,-0.8046289086341858,-0.2890288233757019,-0.4036945700645447,-0.3557091951370239, 0.4732394814491272
7,317944471,0.5570449,0.38607782,-0.6047654,0.41821486,9.773674011230469,-0.7615140080451965,-0.3070424199104309,-0.6857160329818726,-0.18172210454940796, 0.34110358357429504
8,317961138,0.5569919,0.38591975,-0.6049104,0.4182218,9.767309188842773,-0.7638750076293945,-0.27931469678878784,-0.7951846718788147,-0.18065917491912842, 0.43767619132995605
9,317977805,0.55694765,0.38575017,-0.60503644,0.41825476,9.795942306518555,-0.7405822277069092,-0.28627392649650574,-1.0022248029708862,-0.08235763013362885, 0.655576229095459
10,317994472,0.556928,0.3855671,-0.60516274,0.4182672,9.791797637939453,-0.7624973058700562,-0.3073267340660095,-0.8117048144340515,-0.05967758595943451, 0.8244919776916504
11,318011139,0.55689234,0.38541278,-0.6052662,0.41830713,9.765522003173828,-0.7801699042320251,-0.2701336443424225,-0.8071714639663696,0.06612558662891388, 0.8716065287590027
